iteration,fitness,mean fitness
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,12.048,0.602
5,12.048,0.602
6,12.048,0.602
7,12.048,0.602
8,12.048,0.602
9,12.048,0.602
10,12.048,0.602
11,12.048,0.602
12,12.048,0.602
13,12.048,0.602
14,12.048,0.602
15,12.048,0.602
16,12.048,0.602
17,12.048,0.602
18,12.048,0.602
19,12.048,0.602
20,12.048,0.602
21,12.048,0.602
22,12.048,0.602
23,12.048,0.602
24,12.048,0.602
25,12.048,0.602
26,12.048,0.602
27,12.048,0.602
28,12.048,0.602
29,12.048,0.602
30,12.048,0.602
31,12.048,0.602
32,12.048,0.602
33,12.048,0.602
34,12.048,0.602
35,12.048,0.602
36,12.048,0.602
37,12.048,0.602
38,12.048,0.602
39,12.048,0.602
40,12.048,0.602
41,12.048,0.602
42,12.048,0.602
43,12.048,0.602
44,12.048,0.602
45,12.048,0.602
46,12.048,0.602
47,15.672,1.386
48,15.672,0.784
49,28.328,5.185
50,61.547,5.224
51,61.547,3.896
52,61.547,3.807
53,61.547,7.013
54,61.547,3.077
55,61.547,6.73
56,61.547,4.129
57,61.547,3.077
58,61.547,6.109
59,61.547,3.077
60,61.547,5.129
61,61.547,3.861
62,61.547,4.537
63,61.547,7.632
64,61.547,6.153
65,61.547,5.578
66,61.547,4.985
67,61.547,3.861
68,61.547,5.692
69,61.547,3.807
70,61.547,8.753
71,61.547,3.077
72,63.745,9.031
73,63.745,3.187
74,63.745,3.971
75,63.745,3.917
76,63.745,3.187
77,63.745,3.971
78,63.745,3.971
79,63.745,6.241
80,63.745,6.815
81,63.745,3.187
82,63.745,3.187
83,63.745,3.187
84,63.745,7.766
85,63.745,3.971
86,63.745,6.076
87,63.745,3.187
88,63.745,4.754
89,63.745,3.971
90,63.745,5.733
91,63.745,3.917
92,63.745,9.649
93,63.745,3.187
94,63.745,9.461
95,63.745,8.128
96,63.745,4.754
97,63.745,8.652
98,63.745,6.144
99,63.745,3.971
