iteration,fitness,mean fitness
0,45.849,19.888
1,48.296,25.886
2,48.296,25.665
3,48.296,19.268
4,51.912,25.397
5,51.912,29.976
6,52.113,30.736
7,52.569,34.015
8,52.569,33.215
9,54.619,32.393
10,54.619,40.795
11,54.619,36.729
12,54.619,40.189
13,54.619,42.149
14,54.619,44.764
15,54.619,43.444
16,54.619,44.561
17,54.619,43.778
18,54.619,42.579
19,54.619,42.944
20,54.619,42.345
21,54.619,40.775
22,54.619,43.493
23,54.619,42.786
24,54.619,45.987
25,54.619,43.554
26,56.9,46.106
27,56.9,44.538
28,56.9,47.286
29,56.9,45.385
30,56.9,46.398
31,56.9,47.307
32,56.9,46.917
33,56.9,46.663
34,56.9,44.871
35,56.9,46.185
36,56.9,46.518
37,56.9,43.702
38,56.9,45.619
39,56.9,47.609
40,56.9,46.647
41,56.9,47.171
42,56.9,44.979
43,56.9,45.099
44,56.9,42.952
45,56.9,44.368
46,56.9,46.307
47,56.9,43.913
48,56.9,44.706
49,56.9,45.817
50,56.9,43.716
51,56.9,45.404
52,56.9,46.447
53,56.9,45.266
54,56.9,45.231
55,56.9,42.942
56,56.9,45.008
57,56.9,43.351
58,56.9,46.671
59,56.9,45.125
60,56.9,43.951
61,56.9,42.829
62,56.9,41.761
63,56.9,41.827
64,56.9,47.397
65,56.9,47.858
66,56.9,44.328
67,56.9,45.505
68,56.9,43.098
69,56.9,44.092
70,56.9,45.63
71,56.9,46.504
72,56.9,42.473
73,56.9,41.409
74,56.9,46.723
75,56.9,44.074
76,56.9,46.512
iteration,fitness,mean fitness
0,47.554,22.197
1,47.554,22.874
2,47.554,15.771
3,47.554,24.76
4,47.554,20.673
5,47.554,23.443
6,49.006,26.85
7,52.934,22.962
8,52.934,25.593
9,52.934,22.743
10,52.934,31.595
11,53.063,36.593
12,53.063,43.901
13,53.644,45.436
14,53.644,44.968
15,54.449,43.561
16,54.449,46.482
17,54.449,46.754
18,54.449,42.909
19,54.449,42.374
20,54.449,47.405
21,54.449,46.416
22,54.449,45.464
23,54.449,40.26
24,54.449,43.709
25,54.508,42.935
26,54.508,46.715
27,54.508,44.277
28,54.508,46.499
29,54.508,46.247
30,54.969,45.679
31,54.969,46.903
32,54.969,47.307
33,54.969,45.972
34,55.013,45.919
35,55.013,46.04
36,55.013,47.036
37,55.699,47.002
38,55.699,43.374
39,55.699,47.823
40,55.699,48.108
41,55.886,47.439
42,55.886,45.443
43,55.886,46.766
44,55.886,46.71
45,55.886,45.36
46,55.886,43.751
47,55.886,45.922
48,55.886,45.486
49,55.886,47.888
50,55.886,47.247
51,55.886,46.018
52,55.886,46.76
53,55.886,47.243
54,55.886,48.058
55,55.886,45.553
56,55.886,48.002
57,57.575,46.922
58,57.575,45.568
59,57.575,47.82
60,57.575,47.429
61,57.575,46.65
62,57.575,45.803
63,57.575,43.113
64,57.575,43.348
65,57.575,42.62
66,57.575,44.227
67,57.575,45.707
68,57.575,44.446
69,57.575,44.036
70,57.575,46.98
71,57.575,46.827
72,57.575,47.833
73,57.575,47.359
74,57.575,47.472
75,57.575,47.723
76,57.575,47.006
77,57.575,44.235
78,57.575,47.78
79,57.575,43.167
80,57.634,41.378
81,57.634,48.126
82,57.634,47.058
83,57.887,48.512
84,57.887,45.574
85,60.522,44.498
86,60.522,45.306
87,60.522,45.746
88,60.679,49.159
89,60.679,48.711
90,60.679,45.951
91,60.679,39.958
92,60.679,43.429
93,60.679,40.205
94,60.679,47.729
95,60.679,49.325
96,60.679,47.233
97,60.679,47.333
98,60.679,48.558
99,60.679,44.832
100,60.679,47.842
101,60.679,46.165
102,60.679,44.504
103,60.679,44.827
104,60.679,48.29
105,60.679,48.2
106,60.679,46.79
107,60.679,46.913
108,60.679,40.287
109,60.679,38.043
110,60.679,41.69
111,60.679,44.747
112,61.12,49.689
113,61.12,50.861
114,61.12,43.384
115,61.12,48.893
116,61.12,48.048
117,61.12,44.507
118,61.12,48.766
119,61.12,47.25
120,61.12,48.745
121,61.12,48.769
122,61.12,46.436
123,61.12,46.161
124,61.12,48.433
125,61.12,48.773
126,61.12,45.697
127,61.12,48.577
128,61.12,48.44
129,61.12,46.281
130,61.12,44.615
131,61.12,48.974
132,61.12,47.205
133,61.12,48.93
134,61.12,44.023
135,61.12,46.827
136,61.12,46.349
137,61.139,49.034
138,61.139,49.557
139,61.139,49.845
140,61.139,47.131
141,61.139,45.164
142,61.139,46.526
143,61.139,48.684
144,61.139,46.512
145,61.139,46.25
146,61.139,46.725
147,61.139,48.967
148,61.139,46.015
149,61.139,45.751
150,61.139,44.785
151,61.139,40.534
152,61.139,49.08
153,61.139,47.814
154,61.139,46.511
155,61.139,46.383
156,61.139,47.279
157,61.139,48.114
158,61.139,45.335
159,61.139,47.171
160,61.139,44.577
161,61.139,48.372
162,61.139,47.748
163,61.139,45.529
164,61.139,47.464
165,61.139,48.335
166,61.139,48.58
167,61.139,48.351
168,61.139,45.918
169,61.139,41.044
170,61.139,47.735
171,61.139,46.977
172,61.139,47.342
173,61.139,46.518
174,61.139,48.011
175,61.139,46.266
176,61.139,47.73
177,61.139,49.897
178,61.139,42.83
179,61.139,47.409
180,61.139,49.078
181,61.139,45.438
182,61.139,46.952
183,61.139,47.256
184,61.139,47.241
185,61.139,46.497
186,61.139,48.513
187,61.139,42.086
188,61.139,47.232
189,61.139,48.187
190,61.139,47.94
191,61.139,41.724
192,61.139,45.686
193,61.139,45.178
194,61.139,46.117
195,61.139,35.664
196,61.139,40.068
197,61.139,42.854
198,61.139,38.667
199,61.139,39.232
200,61.139,46.644
201,61.139,47.966
202,61.139,42.601
203,61.139,41.798
204,61.139,45.382
205,61.139,46.98
206,61.139,45.344
207,61.139,45.038
208,61.139,43.694
209,61.139,44.845
210,61.139,43.249
211,61.139,40.597
212,61.139,45.582
213,61.139,43.82
214,61.139,46.706
215,61.139,46.432
216,61.139,44.597
217,61.139,43.702
218,61.139,47.795
219,61.139,45.667
220,61.139,47.473
221,61.139,47.353
222,61.139,46.609
223,61.139,48.301
224,61.139,43.366
225,61.139,40.895
226,61.139,48.172
227,61.139,46.875
